date,CNG/LPG,Diesel,Other/Unknown,Petrol,Electrified (EV + Hybrid),Electrified_Share_YoY_Change (pp)
2004-10-01,0.17329552340095494,36.28299280157057,2.712135534065295,60.801279720788195,0.030296420174992122,0.003304916630890352
2004-11-01,0.20799254693373487,34.03386378654765,2.4872442070825795,63.240567213008205,0.030332246427836333,3.5826252844210066e-05
2004-12-01,0.19782500594556027,34.58262166778371,2.9630510453376,62.233801050742656,0.022701230190474132,-0.0076310162373622
2005-01-01,0.19020848963892087,36.71869221096235,2.646011433643655,60.43135058594782,0.013737279807255398,-0.008963950383218735
2005-02-01,0.20611512839492116,39.07988384672322,3.21129647554518,57.490178215566814,0.012526333769857087,-0.001210946037398311
2005-03-01,0.16797312430011196,38.62609568675908,3.492682550102329,57.697802834305136,0.01544580453334363,0.0029194707634865435
2005-04-01,0.15280727182840642,36.61868967764407,3.1808631363692546,60.03752766822845,0.010112245929821012,-0.005333558603522618
2005-05-01,0.12973674252662307,37.65284609978918,3.1147629601600086,59.075625709497814,0.027028488026379804,0.016916242096558794
2005-06-01,0.12394064248149264,39.0290199756585,2.781406670463047,58.05446688774998,0.01116582364698132,-0.015862664379398483
2005-07-01,0.1719746609486906,36.952783159544595,2.918127000021769,59.927727104512705,0.029388074972244597,0.018222251325263276
2005-08-01,0.17530788447210413,35.36507866941316,2.764386203269492,61.66893106017444,0.026296182670815616,-0.0030918923014289813
2005-09-01,0.1818956646467586,36.262719703977794,3.418599091561081,60.11495806005676,0.021827479757611033,-0.004468702913204583
2005-10-01,0.1670245764733954,33.98616082080649,3.180147936053448,62.64566929133858,0.02099737532808399,-0.000830104429527044
2005-11-01,0.16915336571825124,35.81171929215822,3.255117973629424,60.74232303955587,0.021686328938237333,0.0006889536101533436
2005-12-01,0.1468127265073971,36.80892785643153,3.625145016067267,59.39755449010811,0.021559910885701673,-0.00012641805253565952
2006-01-01,0.2173496664806842,37.50239417736066,2.9146506999325466,59.35394685342638,0.011658602799730185,-0.009901308085971488
2006-02-01,0.16597116843702578,40.55197268588771,3.6874051593323216,55.57094081942336,0.023710166919575115,0.01205156411984493
2006-03-01,0.13497502961952038,39.73214955233282,4.0155071311807315,56.100121477526656,0.01724680934027205,-0.006463357579303067
2006-04-01,0.1557026080186843,37.1292331646555,3.6317633320358116,59.06481121058778,0.01848968470221876,0.0012428753619467131
2006-05-01,0.15092983559428622,37.81421255951846,3.067109873326745,58.95606863713952,0.011679094420986434,-0.006810590281232327
2006-06-01,0.18795873412769287,37.479481880267734,3.259935872902474,59.03775334030736,0.03487017239473035,0.023191077973743916
2006-07-01,0.18559353178978316,38.769753766997425,3.184490995957369,57.833517089305396,0.026644615950018376,-0.008225556444711974
2006-08-01,0.20255474452554745,36.87043795620438,3.104014598540146,59.78467153284671,0.038321167883211674,0.011676551933193297
2006-09-01,0.19843764029810543,36.760348388255366,3.3913980425608328,59.615695429648916,0.034120499236778304,-0.00420066864643337
2006-10-01,0.19225583074527408,34.11627563048603,3.2039738671259927,62.470965889813925,0.016528781828779218,-0.017591717407999086
2006-11-01,0.18619454943306146,37.241296996220406,3.4939327630793713,59.05390889198328,0.02466679928386712,0.008138017455087902
2006-12-01,0.18091277020348023,36.257157244903674,3.4317473935505527,60.117127030605964,0.013055560736333625,-0.011611238547533495
2007-01-01,0.19271346180897456,34.566043044028696,2.690251793501196,62.536221690814465,0.01477000984667323,0.0017144491103396053
2007-02-01,0.1872860410494159,39.15199336823199,3.0925223745413795,57.542100980949016,0.026097235228197294,0.011327225381524064
2007-03-01,0.17561616473064368,39.38226008619938,3.2060004423918653,57.20528993424448,0.03083337243362446,0.004736137205427166
2007-04-01,0.18092706006268738,37.90804148581039,2.9143696857985,58.973727352264135,0.02293441606428432,-0.00789895636934014
2007-05-01,0.20267129915350446,39.50871258009707,2.7581582817131056,57.51598131766822,0.01447652136810746,-0.00845789469617686
2007-06-01,0.20917109871578674,39.861687637825916,2.920287975094046,56.99831365935919,0.010539629005059021,-0.003936892363048439
2007-07-01,0.17036036589109213,39.54969611394192,2.803272146847566,57.43676714347106,0.03990422984836393,0.029364600843304906
2007-08-01,0.17482907667928907,37.64404799988097,2.731797317303615,59.42700700060261,0.022318605533526267,-0.01758562431483766
2007-09-01,0.14995461899688253,37.06957105086619,2.7457479973166015,60.006313878694606,0.02841245412572511,0.0060938485921988444
