year,Fuel_Type,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
2024,DIESEL/HYBRID,441,402,579,629,460.0,343.0,370.0,342.0,370.0,513.0,398.0,394.0,5241
2024,ELECTRIC(BOV),7039,6853,7628,7030,6769.0,5918.0,6732.0,4827.0,3486.0,4751.0,3049.0,3391.0,67473
2024,LPG ONLY,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2
2024,NOT APPLICABLE,4262,4504,4286,3779,3604.0,3260.0,3405.0,3367.0,3161.0,5526.0,4961.0,4304.0,48419
2024,PETROL,219497,174689,165553,176237,155871.0,146421.0,165014.0,158162.0,139315.0,246787.0,165718.0,154741.0,2068005
2024,PETROL/CNG,51285,38144,37759,43176,41266.0,37469.0,42804.0,42853.0,37785.0,84052.0,46808.0,41666.0,545067
2024,PETROL/ETHANOL,0,1,0,1,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,10
2024,PETROL/HYBRID,30132,29313,25991,25595,21980.0,19718.0,21178.0,20232.0,18622.0,31104.0,19914.0,18928.0,282707
2024,PETROL/LPG,445,326,373,404,350.0,428.0,553.0,488.0,384.0,699.0,431.0,236.0,5117
2024,PLUG-IN HYBRID EV,0,0,0,0,1.0,0.0,2.0,1.0,11.0,14.0,6.0,7.0,42
2024,PURE EV,0,0,188,558,729.0,718.0,851.0,1300.0,1983.0,5769.0,5665.0,5297.0,23058
2024,STRONG HYBRID EV,0,1,1670,3028,3385.0,4145.0,6959.0,7631.0,6664.0,9730.0,6899.0,6982.0,57094
2025,CNG ONLY,44,35,35,11,,,,,,,,,125
2025,DIESEL,162155,117259,128217,22282,,,,,,,,,429913
2025,DIESEL/HYBRID,538,445,486,109,,,,,,,,,1578
2025,ELECTRIC(BOV),4129,2684,3349,521,,,,,,,,,10683
2025,LPG ONLY,1,0,0,0,,,,,,,,,1
2025,NOT APPLICABLE,5021,3930,4355,867,,,,,,,,,14173
2025,PETROL,231976,135133,143285,33562,,,,,,,,,543956
2025,PETROL/CNG,80885,46502,55823,10687,,,,,,,,,193897
