year,fuel_type,4WIC,LMV,MMV,HMV,TOTAL
2018,PETROL/LPG,6,"22,974",0,0,"22,980"
2018,SOLAR,0,2,0,0,2
2018,STRONG HYBRID EV,0,1,0,0,1
2019,CNG ONLY,0,168,0,0,168
2019,DIESEL,273,"8,83,189",68,40,"8,83,570"
2019,DIESEL/HYBRID,4,"38,007",0,94,"38,105"
2019,ELECTRIC(BOV),0,"1,032",0,0,"1,032"
2019,LPG ONLY,0,13,0,0,13
2019,NOT APPLICABLE,0,"4,632",0,2,"4,634"
2019,PETROL,"1,046","16,18,001",3,14,"16,19,064"
2019,PETROL/CNG,170,"1,92,861",0,0,"1,93,031"
2019,PETROL/HYBRID,27,"75,340",0,0,"75,367"
2019,PETROL/LPG,4,"18,512",1,0,"18,517"
2020,CNG ONLY,0,99,0,0,99
2020,DIESEL,150,"4,85,116",70,24,"4,85,360"
2020,DIESEL/HYBRID,0,"2,880",0,1,"2,881"
2020,ELECTRIC(BOV),0,"3,278",0,0,"3,278"
2020,LPG ONLY,0,15,0,0,15
2020,NOT APPLICABLE,1,"4,312",0,0,"4,313"
2020,PETROL,"1,071","16,40,902",0,1,"16,41,974"
2020,PETROL/CNG,124,"1,66,479",0,0,"1,66,603"
2020,PETROL/HYBRID,39,"85,611",0,0,"85,650"
2020,PETROL/LPG,4,"10,841",0,0,"10,845"
2021,CNG ONLY,1,35,0,0,36
2021,DIESEL,222,"5,33,325",60,37,"5,33,644"
2021,DIESEL/HYBRID,0,31,0,0,31
2021,ELECTRIC(BOV),3,"12,292",0,0,"12,295"
2021,LPG ONLY,1,10,0,0,11
2021,NOT APPLICABLE,2,"6,420",0,0,"6,422"
2021,PETROL,"1,699","20,17,328",2,0,"20,19,029"
2021,PETROL/CNG,164,"2,40,864",0,0,"2,41,028"
2021,PETROL/HYBRID,74,"1,24,788",0,0,"1,24,862"
2021,PETROL/LPG,3,"10,468",0,0,"10,471"
2022,CNG ONLY,0,76,0,0,76
2022,DIESEL,290,"6,39,329",34,19,"6,39,672"
2022,DIESEL/HYBRID,0,736,0,0,736
2022,ELECTRIC(BOV),13,"33,229",0,0,"33,242"
2022,LPG ONLY,0,2,0,0,2
2022,NOT APPLICABLE,3,"4,441",0,0,"4,444"
2022,PETROL,"2,115","21,20,546",1,0,"21,22,662"
2022,PETROL/CNG,301,"3,50,735",0,0,"3,51,036"
2022,PETROL/HYBRID,78,"1,89,265",0,0,"1,89,343"
2022,PETROL/LPG,3,"7,516",0,0,"7,519"
2022,STRONG HYBRID EV,0,1,0,0,1
2023,CNG ONLY,0,47,0,0,47
2023,DIESEL,401,"6,43,028",135,61,"6,43,625"
2023,DIESEL/HYBRID,0,"2,459",0,0,"2,459"
2023,ELECTRIC(BOV),47,"73,281",0,0,"73,328"
2023,LPG ONLY,0,2,0,0,2
2023,NOT APPLICABLE,0,295,0,0,295
2023,PETROL,"2,617","21,45,421",4,0,"21,48,042"
2023,PETROL/CNG,323,"4,08,753",0,0,"4,09,076"
2023,PETROL/ETHANOL,0,4,0,0,4
2023,PETROL/HYBRID,153,"3,23,654",9,1,"3,23,817"
2023,PETROL/LPG,6,"4,104",0,0,"4,110"
2023,STRONG HYBRID EV,0,1,0,0,1
2024,CNG ONLY,0,314,0,0,314
2024,DIESEL,411,"6,97,715",49,8,"6,98,183"
2024,DIESEL/HYBRID,4,"5,237",0,0,"5,241"
2024,ELECTRIC(BOV),37,"67,394",0,0,"67,431"
2024,LPG ONLY,0,2,0,0,2
2024,NOT APPLICABLE,1,123,0,0,124
2024,PETROL,"2,286","20,65,598",0,0,"20,67,884"
2024,PETROL/CNG,586,"5,44,461",0,0,"5,45,047"
2024,PETROL/ETHANOL,0,9,0,0,9
2024,PETROL/HYBRID,142,"2,82,558",1,0,"2,82,701"
2024,PETROL/LPG,8,"5,104",0,0,"5,112"
2024,PLUG-IN HYBRID EV,0,42,0,0,42
2024,PURE EV,6,"23,051",0,0,"23,057"
2024,STRONG HYBRID EV,28,"57,066",0,0,"57,094"
2025,CNG ONLY,0,110,0,0,110
2025,DIESEL,86,"2,01,103",33,5,"2,01,227"
2025,DIESEL/HYBRID,0,"1,553",0,0,"1,553"
2025,ELECTRIC(BOV),6,"10,587",0,0,"10,593"
2025,LPG ONLY,0,1,0,0,1
2025,NOT APPLICABLE,0,1,0,0,1
2025,PETROL,500,"5,37,608",0,0,"5,38,108"
2025,PETROL/CNG,142,"1,91,318",0,0,"1,91,460"
2025,PETROL/ETHANOL,27,"39,958",0,0,"39,985"
2025,PETROL/HYBRID,36,"71,002",0,0,"71,038"
2025,PETROL/LPG,0,744,0,0,744
2025,PLUG-IN HYBRID EV,0,29,0,0,29
2025,PURE EV,7,"22,669",0,0,"22,676"
2025,STRONG HYBRID EV,16,"26,014",0,0,"26,030"
