year,STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
2004,ANDHRA PRADESH,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4
2004,ARUNACHAL PRADESH,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3
2004,DELHI,0,0,1,1,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9
2004,GUJARAT,0,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6
2004,HARYANA,1,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2004,HIMACHAL PRADESH,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2004,JHARKHAND,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2004,KARNATAKA,11,3,13,24,5.0,7.0,13.0,4.0,20.0,15.0,20.0,15.0,150
2004,KERALA,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2004,MADHYA PRADESH,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
2004,MAHARASHTRA,0,0,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
2004,MANIPUR,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2004,PUNJAB,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2004,RAJASTHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2
2004,TAMIL NADU,3,0,1,4,1.0,7.0,4.0,4.0,3.0,5.0,3.0,3.0,38
2004,UTTAR PRADESH,1,0,1,0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,6
2005,ANDHRA PRADESH,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4
2005,ASSAM,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2005,CHHATTISGARH,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2005,DELHI,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2005,GOA,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2
2005,GUJARAT,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4
2005,HARYANA,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
2005,HIMACHAL PRADESH,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005,JHARKHAND,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2005,KARNATAKA,6,7,3,5,18.0,2.0,13.0,13.0,9.0,14.0,12.0,7.0,109
2005,MADHYA PRADESH,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2005,MAHARASHTRA,1,0,1,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,8
2005,MANIPUR,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2005,ODISHA,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2005,PUDUCHERRY,1,0,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4
2005,PUNJAB,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005,RAJASTHAN,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005,TAMIL NADU,2,2,5,3,4.0,4.0,12.0,7.0,5.0,4.0,5.0,4.0,57
2005,UT OF DNH AND DD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2005,UTTAR PRADESH,1,1,2,0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,12
2005,WEST BENGAL,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
2006,ANDAMAN & NICOBAR ISLAND,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2006,ANDHRA PRADESH,0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4
2006,ASSAM,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,DELHI,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2006,GUJARAT,1,0,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5
2006,HARYANA,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3
2006,KARNATAKA,6,10,11,12,8.0,26.0,11.0,22.0,21.0,7.0,11.0,5.0,150
2006,KERALA,0,1,0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6
2006,MADHYA PRADESH,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2006,MAHARASHTRA,0,1,0,0,1.0,2.0,4.0,5.0,1.0,2.0,3.0,0.0,19
2006,MIZORAM,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2006,NAGALAND,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
2006,PUNJAB,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4
2006,RAJASTHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2006,TAMIL NADU,5,11,10,4,2.0,10.0,10.0,6.0,11.0,6.0,11.0,7.0,93
2006,UTTAR PRADESH,0,1,2,0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,14
2006,WEST BENGAL,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2007,ANDAMAN & NICOBAR ISLAND,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2007,ANDHRA PRADESH,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
2007,CHANDIGARH,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2007,CHHATTISGARH,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2
2007,DELHI,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2007,GUJARAT,1,1,0,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7
2007,HIMACHAL PRADESH,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
