YEAR,STATE,Fuel_Type,Registrations
2002,CHHATTISGARH,LNG,0
2002,DELHI,LNG,0
2002,GOA,LNG,0
2002,GUJARAT,LNG,0
2002,HARYANA,LNG,0
2002,HIMACHAL PRADESH,LNG,0
2002,JAMMU AND KASHMIR,LNG,0
2002,JHARKHAND,LNG,0
2002,KARNATAKA,LNG,0
2002,KERALA,LNG,0
2002,LADAKH,LNG,0
2002,LAKSHADWEEP,LNG,0
2002,MADHYA PRADESH,LNG,0
2002,MAHARASHTRA,LNG,0
2002,MANIPUR,LNG,0
2002,MEGHALAYA,LNG,0
2002,MIZORAM,LNG,0
2002,NAGALAND,LNG,0
2002,ODISHA,LNG,0
2002,PUDUCHERRY,LNG,0
2002,PUNJAB,LNG,0
2002,RAJASTHAN,LNG,0
2002,SIKKIM,LNG,0
2002,TAMIL NADU,LNG,0
2002,TRIPURA,LNG,0
2002,UT OF DNH AND DD,LNG,0
2002,UTTARAKHAND,LNG,0
2002,UTTAR PRADESH,LNG,0
2002,WEST BENGAL,LNG,0
2002,ANDAMAN & NICOBAR ISLAND,LPG ONLY,0
2002,ANDHRA PRADESH,LPG ONLY,17
2002,ARUNACHAL PRADESH,LPG ONLY,0
2002,ASSAM,LPG ONLY,0
2002,BIHAR,LPG ONLY,0
2002,CHANDIGARH,LPG ONLY,0
2002,CHHATTISGARH,LPG ONLY,1
2002,DELHI,LPG ONLY,6
2002,GOA,LPG ONLY,1
2002,GUJARAT,LPG ONLY,2
2002,HARYANA,LPG ONLY,27
2002,HIMACHAL PRADESH,LPG ONLY,0
2002,JAMMU AND KASHMIR,LPG ONLY,0
2002,JHARKHAND,LPG ONLY,1
2002,KARNATAKA,LPG ONLY,34
2002,KERALA,LPG ONLY,59
2002,LADAKH,LPG ONLY,0
2002,LAKSHADWEEP,LPG ONLY,0
2002,MADHYA PRADESH,LPG ONLY,5
2002,MAHARASHTRA,LPG ONLY,6
2002,MANIPUR,LPG ONLY,0
2002,MEGHALAYA,LPG ONLY,0
2002,MIZORAM,LPG ONLY,0
2002,NAGALAND,LPG ONLY,0
2002,ODISHA,LPG ONLY,7
2002,PUDUCHERRY,LPG ONLY,2
2002,PUNJAB,LPG ONLY,11
2002,RAJASTHAN,LPG ONLY,4
2002,SIKKIM,LPG ONLY,0
2002,TAMIL NADU,LPG ONLY,80
2002,TRIPURA,LPG ONLY,0
2002,UT OF DNH AND DD,LPG ONLY,0
2002,UTTARAKHAND,LPG ONLY,0
2002,UTTAR PRADESH,LPG ONLY,39
2002,WEST BENGAL,LPG ONLY,11
2002,ANDAMAN & NICOBAR ISLAND,METHANOL,0
2002,ANDHRA PRADESH,METHANOL,0
2002,ARUNACHAL PRADESH,METHANOL,0
2002,ASSAM,METHANOL,0
2002,BIHAR,METHANOL,0
2002,CHANDIGARH,METHANOL,0
2002,CHHATTISGARH,METHANOL,0
2002,DELHI,METHANOL,0
